edge_id,end_vertex,length,n_points,start_vertex
82,-1,0.7500030758417159,2,1379
83,-1,1.499992865450632,2,1388
84,1065,3.9727030091200493,3,1399
85,-1,1.4999984721839408,2,1442
86,-1,1.500001689127161,2,1460
87,-1,1.5000050974302304,2,1481
88,-1,1.5000131244507453,2,1500
89,-1,1.5000025714570346,2,1516
90,1437,3.2987066574720045,3,1552
91,1164,3.2294534201725265,3,1553
92,-1,1.4999980017684749,2,1565
93,-1,1.4999950164846247,2,1576
94,924,3.7975919401728717,3,1637
95,-1,1.4999862921884406,2,1639
96,718,3.1882728518561834,3,1640
97,-1,1.5000100413311697,2,1654
98,-1,1.5000089271077668,2,1654
99,1304,3.7032617540329245,3,1668
100,1545,3.9780353918095446,3,1670
101,-1,1.500001861479841,2,1708
102,-1,1.5000144615848363,2,1725
103,1297,3.1693760421858768,3,1764
104,-1,1.500000926432845,2,1791
105,-1,1.4999975664521386,2,1803
106,-1,2.3811069240450826,2,1807
107,-1,1.4999946658630743,2,1814
108,-1,1.500000185721232,2,1822
109,-1,0.7500099235256276,2,1847
110,1670,3.8814187938487086,3,1906
111,-1,1.5000139180856453,2,1916
112,-1,0.7499998317798411,2,1916
113,-1,1.499995970627469,2,1986
114,-1,1.4999921349602379,2,1989
115,-1,1.4999982179131948,2,2011
116,-1,1.5000121919718865,2,2023
117,1866,3.237924775044357,3,2036
118,-1,1.500011753710503,2,2065
119,-1,1.4999957337604393,2,2073
120,1860,3.8829719871704613,3,2099
121,-1,2.3811035412440575,2,2102
122,-1,0.7500039747578007,2,2129
123,-1,0.7499931842399884,2,2136
124,-1,1.4999970555431803,2,2136
125,-1,1.4999924858378164,2,2142
126,-1,1.499995368836128,2,2145
127,1857,3.1916299803796684,3,2170
128,-1,2.381114317700218,2,2178
129,-1,2.381091849146846,2,2178
130,1947,3.417013414315817,3,2182
131,-1,1.4999969078700472,2,2197
132,-1,1.4999959495174338,2,2213
133,-1,1.499995507234964,2,2214
134,2023,3.3031984759124056,3,2243
135,-1,2.3810887117697863,2,2277
136,2036,3.5589263740173163,3,2299
137,1805,3.2040086916591775,3,2314
138,2182,3.33279450804252,3,2316
139,-1,1.4999900476211203,2,2336
140,-1,1.5000002315888623,2,2341
141,-1,1.5000132588704547,2,2341
142,-1,1.4999886319425384,2,2344
143,-1,1.5000115897990054,2,2379
144,-1,1.4999964976021487,2,2382
145,-1,0.7500052017289814,2,2413
146,-1,0.7499972193760784,2,2413
147,-1,0.7500060281551639,2,2430
148,-1,1.5000007693498596,2,2443
149,1822,3.225491039129958,3,2464
150,-1,1.4999920624719156,2,2478
151,1818,3.6116269404444865,3,2490
152,2514,3.866004087232282,3,2551
153,-1,1.4999904574057161,2,2573
154,2075,3.732726711045032,3,2615
155,-1,1.5000060431071829,2,2621
156,-1,1.4999857775503167,2,2687
157,2330,3.1624055045688344,3,2690
158,1152,3.849099263149661,3,2729
159,-1,0.7499875004603467,2,2729
160,-1,0.7500051720820845,2,2730
161,-1,1.5000034760798717,2,2730
